Title,Agency,CloseDate,DaysLeft,OppNumber,Category,Eligibility,URL,Score,ScoreBreakdown
Education and Broadening Participation in Earth Sciences,U.S. National Science Foundation,,,PD-25-1575,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
Educational Funding Opportunity: Expanding education on skin lightening products (U01) Clinical Trials Not Allowed,Food and Drug Administration,,,FOR-FD-25-013,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
Facilities for Atmospheric Research and Education,U.S. National Science Foundation,,,PD-22-1529,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
Grants to Support New Investigators in Conducting Research Related to Preventing Interpersonal Violence Impacting Children and Youth,Centers for Disease Control and Prevention - ERA,,,RFA-CE-26-021,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
Institutes for Higher Education Faculty and K-12 Educators,National Endowment for the Humanities,,,20260211-EH-ES,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
NIH Science Education Partnership Award (SEPA),National Institutes of Health,,,FOR-GM-27-001,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
NIMH Mentoring Networks for Mental Health Research Education,National Institutes of Health,,,PAR-26-048,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
NIMH Research Education Programs for Psychiatry Residents,National Institutes of Health,,,PAR-26-047,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
"National Defense Education Program (NDEP) Science, Technology, Engineering, and Mathematics (STEM) Consortia Request for Information (RFI) for the Office of the Under Secretary of Defense (Research &amp; Engineering)",Department of Defense,,,RANDENDEPSTEMFY22RFI,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
National Indian Health Outreach and Education,Indian Health Service,,,HHS-2026-IHS-NIHOE-0001,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
Naval Engineering Education Consortium (NEEC) Broad Agency Announcement for Fiscal Year 2026,NSWC Dahlgren,,,N00178-26-0001,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
OMHHE Educational Funding Opportunity: Expanding education on skin lightening products (U01) Clinical Trials Not Allowed,Food and Drug Administration,,,FOR-FD-24-017,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
Research Education Projects,National Institutes of Health,,,FOR-OD-25-653,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
Spotlight on Humanities in Higher Education,National Endowment for the Humanities,,,20251007-ASA-ASB,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
The Primary Prevention Youth Homelessness Demonstration Program,Administration for Children & Families - ACYF/FYSB,,,HHS-2025-ACF-ACYF-YY-0081,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
