Title,Agency,CloseDate,DaysLeft,OppNumber,Category,Eligibility,URL,Score,ScoreBreakdown
National Indian Health Outreach and Education,Indian Health Service,,,HHS-2026-IHS-NIHOE-0001,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
Grants to Support New Investigators in Conducting Research Related to Preventing Interpersonal Violence Impacting Children and Youth,Centers for Disease Control and Prevention - ERA,,,RFA-CE-26-021,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
Facilities for Atmospheric Research and Education,U.S. National Science Foundation,,,PD-22-1529,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
Institutes for Higher Education Faculty and K-12 Educators,National Endowment for the Humanities,,,20260211-EH-ES,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
Naval Engineering Education Consortium (NEEC) Broad Agency Announcement for Fiscal Year 2026,NSWC Dahlgren,,,N00178-26-0001,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
2020/2021 EducationUSA Graduate Opportunity Funds Program,U.S. Mission to Zimbabwe,,,AFHAR-FY21-02,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
Spotlight on Humanities in Higher Education,National Endowment for the Humanities,,,20251007-ASA-ASB,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
Advanced Laboratories for Accelerating the Reach and Impact of Treatments for Youth and Adults with Mental Illness (ALACRITY) Research Centers (P50 Clinical Trial Optional),National Institutes of Health,05/18/2026,216.0,PAR-24-210,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
"Bioengineering Research, Innovation and Technology Education (BRITE) Program (R25 Clinical Trial Not Allowed)",National Institutes of Health,,,PAR-26-025,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
The Primary Prevention Youth Homelessness Demonstration Program,Administration for Children & Families - ACYF/FYSB,,,HHS-2025-ACF-ACYF-YY-0081,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
Occupational Safety and Health Education and Research Centers (T42),Centers for Disease Control and Prevention - ERA,10/26/2028,1108.0,RFA-OH-25-002,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
Advancing Youth Activism and Engagement FY2023,U.S. Mission to Albania,,,TIRYOUTHFY23,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
"National Defense Education Program (NDEP) Science, Technology, Engineering, and Mathematics (STEM) Consortia Request for Information (RFI) for the Office of the Under Secretary of Defense (Research &amp; Engineering)",Department of Defense,,,RANDENDEPSTEMFY22RFI,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
Improving Undergraduate STEM Education: Directorate for STEM Education,U.S. National Science Foundation,01/21/2026,99.0,23-510,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
Fire Science Innovations through Research and Education,U.S. National Science Foundation,02/10/2026,119.0,PD-25-345Y,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
Accelerating Solutions to Improve Access and Quality of Empirically-Supported Practices for Youth Mental Health (R01 Clinical Trial Optional),National Institutes of Health,01/07/2027,450.0,PAR-25-310,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
Advanced Technological Education,U.S. National Science Foundation,10/01/2026,352.0,24-584,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
Innovations in Graduate Education (IGE) Program,U.S. National Science Foundation,03/25/2026,162.0,24-529,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
NIMH Research Education Mentoring Program for HIV Researchers (R25 Clinical Trial Not Allowed),National Institutes of Health,09/07/2026,328.0,PAR-24-233,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
NIMH Mentoring Networks for Mental Health Research Education,National Institutes of Health,,,PAR-26-048,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
NIDA Research Education Program for Clinical Researchers and Clinicians (R25 Clinical Trial Not Allowed),National Institutes of Health,11/12/2027,759.0,PAR-25-204,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
EDU Core Research: Building Capacity in STEM Education Research (ECR: BCSER),U.S. National Science Foundation,02/27/2026,136.0,22-548,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
NIMH Research Education Programs for Psychiatry Residents,National Institutes of Health,,,PAR-26-047,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
Cancer Research Education Grants Program - Curriculum or Methods Development (R25 Clinical Trial Not Allowed),National Institutes of Health,01/07/2027,450.0,PAR-23-278,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
NIA Expanding Research in AD/ADRD (ERA) Postbaccalaureate Research Education Program (R25 Independent Clinical Trial Not Allowed),National Institutes of Health,05/26/2027,589.0,RFA-AG-26-010,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
Cancer Research Education Grants Program - Courses for Skills Development (R25 Clinical Trial Not Allowed),National Institutes of Health,01/07/2027,450.0,PAR-23-276,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
Limited Competition: NCATS Clinical and Translational Science Award (CTSA) Program Research Education Grants Programs (R25 - Clinical Trial Not Allowed),National Institutes of Health,05/28/2027,591.0,PAR-25-197,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
NIDDK Education Program Grants (R25 Clinical Trial Not Allowed),National Institutes of Health,01/30/2026,108.0,PAR-24-074,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
NIA Expanding Research in AD/ADRD (ERA) Summer Research Education Program (R25 Independent Clinical Trial Not Allowed),National Institutes of Health,05/26/2027,589.0,RFA-AG-26-011,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
NINDS Research Education Opportunities (R25 Clinical Trial Not Allowed),National Institutes of Health,07/14/2026,273.0,PAR-24-200,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
NINDS Research Education Programs for Residents and Fellows in Neurological Disorders and Stroke (UE5 - Clinical Trial Not Allowed),National Institutes of Health,01/28/2026,106.0,PAR-24-079,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
Research Education Projects,National Institutes of Health,,,FOR-OD-25-653,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
Cancer Research Education Grants Program - Research Experiences (R25 Clinical Trial Not Allowed),National Institutes of Health,01/07/2027,450.0,PAR-23-277,Not specified,Not specified,Not specified,18,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
UCEDD National Training Initiative,Administration for Community Living,,,HHS-2024-ACL-AOD-DDTI-0009,Not specified,Not specified,Not specified,14,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 10, ""ProgramPts"": 0, ""TechPts"": 4}"
UCEDD National Training Initiative,Administration for Community Living,,,HHS-2025-ACL-AOD-DDTI-0009,Not specified,Not specified,Not specified,14,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 10, ""ProgramPts"": 0, ""TechPts"": 4}"
PY2025 Planning Instruction and Allotments for Senior Community Service Employment Program (SCSEP) National Grantees,Employment and Training Administration,10/30/2025,16.0,ETA-TEGL-16-24-1,Not specified,Not specified,Not specified,14,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 10, ""ProgramPts"": 0, ""TechPts"": 4}"
Centers for Independent Living Competition - Guam,Administration for Community Living,,,HHS-2026-ACL-AOD-IL-0014,Not specified,Not specified,Not specified,10,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 10, ""ProgramPts"": 0, ""TechPts"": 0}"
DRAFT Community Noise Mitigation Program,Office of Local Defense Community Cooperation,,,OLDCC-23-F-0003,Not specified,Not specified,Not specified,10,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 10, ""ProgramPts"": 0, ""TechPts"": 0}"
Application Instructions for the Indian Community Development Block Grant (ICDBG) Imminent Threat (IT) Program,Department of Housing and Urban Development,09/30/2026,351.0,FR-6900-N-74,Not specified,Not specified,Not specified,10,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 10, ""ProgramPts"": 0, ""TechPts"": 0}"
Community Development Block Grant Program for Indian Tribes and Alaska Native Villages,Department of Housing and Urban Development,11/24/2025,41.0,FR-6900-N-23,Not specified,Not specified,Not specified,10,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 10, ""ProgramPts"": 0, ""TechPts"": 0}"
Assistive Technology Alternative Financing Program,Administration for Community Living,,,HHS-2026-ACL-CIP-ATTF-0067,Not specified,Not specified,Not specified,10,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 10, ""ProgramPts"": 0, ""TechPts"": 0}"
Expanding Whole Person Strategies for Community Evidence-Based Falls Prevention Programming,Administration for Community Living,,,HHS-2026-ACL-AOA-FPSG-0004,Not specified,Not specified,Not specified,10,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 10, ""ProgramPts"": 0, ""TechPts"": 0}"
ACL National Falls Prevention Resource Center,Administration for Community Living,,,HHS-2026-ACL-AOA-FPSG-0005,Not specified,Not specified,Not specified,10,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 10, ""ProgramPts"": 0, ""TechPts"": 0}"
ACL National Resource Center on Nutrition and Aging,Administration for Community Living,,,HHS-2026-ACL-AOA-PPNU-0003,Not specified,Not specified,Not specified,10,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 10, ""ProgramPts"": 0, ""TechPts"": 0}"
Centers for Independent Living Competition - American Samoa,Administration for Community Living,,,HHS-2026-ACL-AOD-IL-0013,Not specified,Not specified,Not specified,10,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 10, ""ProgramPts"": 0, ""TechPts"": 0}"
Community Led Monitoring Intervention,U.S. Mission to Mozambique,,,MAPUTO-PCO-20-001,Not specified,Not specified,Not specified,10,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 10, ""ProgramPts"": 0, ""TechPts"": 0}"
National Community Anti-Drug Coalition Institute (NCI),Office of National Drug Control Policy ,,,DFC-NCI-2025,Not specified,Not specified,Not specified,10,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 10, ""ProgramPts"": 0, ""TechPts"": 0}"
Projects of National Significance: Achieving Economic Mobility,Administration for Community Living,,,HHS-2025-ACL-AOD-DNCE-0063,Not specified,Not specified,Not specified,10,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 10, ""ProgramPts"": 0, ""TechPts"": 0}"
PNS: Achieving Economic Mobility and Security,Administration for Community Living,,,HHS-2023-ACL-AOD-DNCE-0030,Not specified,Not specified,Not specified,10,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 10, ""ProgramPts"": 0, ""TechPts"": 0}"
Projects of National  Significance: Achieving Economic Mobility,Administration for Community Living,,,HHS-2024-ACL-AOD-DNCE-0023,Not specified,Not specified,Not specified,10,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 10, ""ProgramPts"": 0, ""TechPts"": 0}"
PEPFAR Community Led Monitoring &ndash; Mozambique Relief Programs,U.S. Mission to Mozambique,,,MAPUTO-PCO-FY22-01,Not specified,Not specified,Not specified,10,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 10, ""ProgramPts"": 0, ""TechPts"": 0}"
Peer Supports for Augmentative and Alternative Communication,Administration for Community Living,,,HHS-2025-ACL-AOD-DNSA-0045,Not specified,Not specified,Not specified,10,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 10, ""ProgramPts"": 0, ""TechPts"": 0}"
U.S. Mission T&uuml;rkiye Public Diplomacy Grants Program,Bureau of European and Eurasian Affairs,,,TR-NOFO-FY25-02,Not specified,Not specified,Not specified,4,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 0, ""ProgramPts"": 0, ""TechPts"": 4}"
Updated National Dislocated Worker Grant Program Guidance and Application Information,Employment and Training Administration,12/31/2026,443.0,ETA-TEGL-09-24,Not specified,Not specified,Not specified,4,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 0, ""ProgramPts"": 0, ""TechPts"": 4}"
Infertility Training Center,Office of the Assistant Secretary for Health,,,PA-FPT-25-002,Not specified,Not specified,Not specified,4,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 0, ""ProgramPts"": 0, ""TechPts"": 4}"
NIGMS Institutional Biomedical Undergraduate Research Training Program,National Institutes of Health,,,FOR-GM-26-002,Not specified,Not specified,Not specified,4,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 0, ""ProgramPts"": 0, ""TechPts"": 4}"
Media Training &amp; Development (MT&amp;D)  Small Grants Program,U.S. Mission to Venezuela,,,FY-2021VE002,Not specified,Not specified,Not specified,4,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 0, ""ProgramPts"": 0, ""TechPts"": 4}"
Flexible Funding Model-Infrastructure Development and Maintenance for State Manufactured Food Regulatory Programs (U2F) Clinical Trials Not Allowed,Food and Drug Administration,,,FOR-FD-24-009,Not specified,Not specified,Not specified,4,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 0, ""ProgramPts"": 0, ""TechPts"": 4}"
Mission Spain Public Diplomacy 2022 Annual Program Statement,U.S. Mission to Spain,,,ESP22APS,Not specified,Not specified,Not specified,4,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 0, ""ProgramPts"": 0, ""TechPts"": 4}"
Commercial Fishing Occupational Safety Training Project Grants (T03),Centers for Disease Control and Prevention - ERA,01/31/2028,839.0,RFA-OH-22-006,Not specified,Not specified,Not specified,4,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 0, ""ProgramPts"": 0, ""TechPts"": 4}"
Fostering Collaboration Across Ryan White HIV/AIDS Programs (RWHAPs) to Engage People with HIV in Care,Health Resources and Services Administration,11/17/2025,34.0,HRSA-26-014,Not specified,Not specified,Not specified,4,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 0, ""ProgramPts"": 0, ""TechPts"": 4}"
Air Force Defense Research Sciences Conference and Workshop Support,Air Force Office of Scientific Research,,,BAA-AFRL-AFOSR-2016-0008,Not specified,Not specified,Not specified,4,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 0, ""ProgramPts"": 0, ""TechPts"": 4}"
STARBASE Cherry Point,NAVAIR,,,N6852025RFPREQJC000000135,Not specified,Not specified,Not specified,4,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 0, ""ProgramPts"": 0, ""TechPts"": 4}"
