Score,Title,Agency,CloseDate,DaysLeft,OppNumber,Category,Eligibility,URL,MissionHits,ProgramHits,TechHits,MissionPts,ProgramPts,TechPts,ScoreBreakdown
22,Annual Program Statement for U.S. Presentation at International Art Biennales,Bureau Of Educational and Cultural Affairs,01/01/2099,26742,DFOP0017204,Not specified,Not specified,Not specified,1,0,1,18,0,4,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 4}"
18,Accelerating Solutions to Improve Access and Quality of Empirically-Supported Practices for Youth Mental Health (R01 Clinical Trial Optional),National Institutes of Health,01/07/2027,450,PAR-25-310,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
18,"National Defense Education Program (NDEP) Science, Technology, Engineering, and Mathematics (STEM) Consortia Request for Information (RFI) for the Office of the Under Secretary of Defense (Research &amp; Engineering)",Department of Defense,,,RANDENDEPSTEMFY22RFI,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
18,Improving Undergraduate STEM Education: Directorate for STEM Education,U.S. National Science Foundation,01/21/2026,99,23-510,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
18,Fire Science Innovations through Research and Education,U.S. National Science Foundation,02/10/2026,119,PD-25-345Y,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
18,Advanced Technological Education,U.S. National Science Foundation,10/01/2026,352,24-584,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
18,Innovations in Graduate Education (IGE) Program,U.S. National Science Foundation,03/25/2026,162,24-529,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
18,EDU Core Research: Building Capacity in STEM Education Research (ECR: BCSER),U.S. National Science Foundation,02/27/2026,136,22-548,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
18,NIMH Research Education Mentoring Program for HIV Researchers (R25 Clinical Trial Not Allowed),National Institutes of Health,09/07/2026,328,PAR-24-233,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
18,NIMH Mentoring Networks for Mental Health Research Education,National Institutes of Health,,,PAR-26-048,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
18,NIDA Research Education Program for Clinical Researchers and Clinicians (R25 Clinical Trial Not Allowed),National Institutes of Health,11/12/2027,759,PAR-25-204,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
18,Occupational Safety and Health Education and Research Centers (T42),Centers for Disease Control and Prevention - ERA,10/26/2028,1108,RFA-OH-25-002,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
18,NIMH Research Education Programs for Psychiatry Residents,National Institutes of Health,,,PAR-26-047,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
18,Cancer Research Education Grants Program - Courses for Skills Development (R25 Clinical Trial Not Allowed),National Institutes of Health,01/07/2027,450,PAR-23-276,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
18,Cancer Research Education Grants Program - Research Experiences (R25 Clinical Trial Not Allowed),National Institutes of Health,01/07/2027,450,PAR-23-277,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
18,Research Education Projects,National Institutes of Health,,,FOR-OD-25-653,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
18,NINDS Research Education Programs for Residents and Fellows in Neurological Disorders and Stroke (UE5 - Clinical Trial Not Allowed),National Institutes of Health,01/28/2026,106,PAR-24-079,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
18,NINDS Research Education Opportunities (R25 Clinical Trial Not Allowed),National Institutes of Health,07/14/2026,273,PAR-24-200,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
18,Cancer Research Education Grants Program - Curriculum or Methods Development (R25 Clinical Trial Not Allowed),National Institutes of Health,01/07/2027,450,PAR-23-278,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
18,NIDDK Education Program Grants (R25 Clinical Trial Not Allowed),National Institutes of Health,01/30/2026,108,PAR-24-074,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
18,Limited Competition: NCATS Clinical and Translational Science Award (CTSA) Program Research Education Grants Programs (R25 - Clinical Trial Not Allowed),National Institutes of Health,05/28/2027,591,PAR-25-197,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
18,NIA Expanding Research in AD/ADRD (ERA) Summer Research Education Program (R25 Independent Clinical Trial Not Allowed),National Institutes of Health,05/26/2027,589,RFA-AG-26-011,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
18,NIA Expanding Research in AD/ADRD (ERA) Postbaccalaureate Research Education Program (R25 Independent Clinical Trial Not Allowed),National Institutes of Health,05/26/2027,589,RFA-AG-26-010,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
18,Advancing Youth Activism and Engagement FY2023,U.S. Mission to Albania,,,TIRYOUTHFY23,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
18,The Primary Prevention Youth Homelessness Demonstration Program,Administration for Children & Families - ACYF/FYSB,,,HHS-2025-ACF-ACYF-YY-0081,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
18,Grants to Support New Investigators in Conducting Research Related to Preventing Interpersonal Violence Impacting Children and Youth,Centers for Disease Control and Prevention - ERA,,,RFA-CE-26-021,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
18,Advanced Laboratories for Accelerating the Reach and Impact of Treatments for Youth and Adults with Mental Illness (ALACRITY) Research Centers (P50 Clinical Trial Optional),National Institutes of Health,05/18/2026,216,PAR-24-210,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
18,OJJDP FY25 Community and Schools Youth Drug Prevention Program,Office of Juvenile Justice Delinquency Prevention ,10/27/2025,13,O-OJJDP-2025-172454,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
18,"Office of Elementary and Secondary Education (OESE): Office of Safe and Supportive Schools: Mental Health Service Professional (MHSP) Demonstration Grant Program, Assistance Listing Number 84.184X",Department of Education,10/29/2025,15,ED-GRANTS-092925-002,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
18,IUSE: Innovation in Two-Year College STEM Education,U.S. National Science Foundation,12/10/2025,57,23-584,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
18,Education Programs in Atmospheric and Geospace Sciences,U.S. National Science Foundation,,,PD-21-7700,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
18,Department of Defense Research and Education Program for Historically Black Colleges and Universities and Minority-Serving Institutions (HBCU/MI),Dept of the Army -- Materiel Command,07/31/2029,1386,W911NF24S0009,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
18,Alcohol and Other Substance Use Research Education Programs for Health Professionals (R25 Clinical Trial Not Allowed),National Institutes of Health,05/25/2026,223,PAR-23-240,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
18,"Office of Elementary and Secondary Education (OESE): Office of Safe and Supportive Schools: School-Based Mental Health Services (SBMH) Grant Program, Assistance Listing Number (ALN) number 84.184H",Department of Education,10/29/2025,15,ED-GRANTS-092925-001,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
18,NIDCD's Mentored Research Education Pathway for Otolaryngology Residents and Medical Students (R25 - Clinical Trial Not Allowed),National Institutes of Health,09/29/2026,350,PAR-24-127,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
18,Research Experiences and/or Mentoring Networks through Research Education to Enhance Clinician-Scientists' Participation in NIDCDs Research (R25 Clinical Trial Not Allowed),National Institutes of Health,09/29/2027,715,PAR-25-020,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
18,NIH Science Education Partnership Award (SEPA),National Institutes of Health,,,FOR-GM-27-001,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
18,Summer Research Education Experience Program (R25 Clinical Trial Not Allowed),National Institutes of Health,05/07/2027,570,PAR-24-204,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
18,Educational Funding Opportunity: Expanding education on skin lightening products (U01) Clinical Trials Not Allowed,Food and Drug Administration,,,FOR-FD-25-013,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
18,OMHHE Educational Funding Opportunity: Expanding education on skin lightening products (U01) Clinical Trials Not Allowed,Food and Drug Administration,,,FOR-FD-24-017,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
18,Education and Broadening Participation in Earth Sciences,U.S. National Science Foundation,,,PD-25-1575,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
18,National Indian Health Outreach and Education,Indian Health Service,,,HHS-2026-IHS-NIHOE-0001,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
18,FY 2024 &ndash; 2026 - Broad Agency Announcement (BAA) for the Office of Education,DOC NOAA - ERA Production,09/30/2026,351,NOAA-SEC-OED-2024-28060,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
18,Facilities for Atmospheric Research and Education,U.S. National Science Foundation,,,PD-22-1529,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
18,Institutes for Higher Education Faculty and K-12 Educators,National Endowment for the Humanities,,,20260211-EH-ES,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
18,"Bioengineering Research, Innovation and Technology Education (BRITE) Program (R25 Clinical Trial Not Allowed)",National Institutes of Health,,,PAR-26-025,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
18,Naval Engineering Education Consortium (NEEC) Broad Agency Announcement for Fiscal Year 2026,NSWC Dahlgren,,,N00178-26-0001,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
18,2020/2021 EducationUSA Graduate Opportunity Funds Program,U.S. Mission to Zimbabwe,,,AFHAR-FY21-02,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
18,Spotlight on Humanities in Higher Education,National Endowment for the Humanities,,,20251007-ASA-ASB,Not specified,Not specified,Not specified,1,0,0,18,0,0,"{""MissionHits"": 1, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 18, ""ProgramPts"": 0, ""TechPts"": 0}"
14,UCEDD National Training Initiative,Administration for Community Living,,,HHS-2024-ACL-AOD-DDTI-0009,Not specified,Not specified,Not specified,0,0,1,10,0,4,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 10, ""ProgramPts"": 0, ""TechPts"": 4}"
14,UCEDD National Training Initiative,Administration for Community Living,,,HHS-2025-ACL-AOD-DDTI-0009,Not specified,Not specified,Not specified,0,0,1,10,0,4,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 10, ""ProgramPts"": 0, ""TechPts"": 4}"
14,PY2025 Planning Instruction and Allotments for Senior Community Service Employment Program (SCSEP) National Grantees,Employment and Training Administration,10/30/2025,16,ETA-TEGL-16-24-1,Not specified,Not specified,Not specified,0,0,1,10,0,4,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 10, ""ProgramPts"": 0, ""TechPts"": 4}"
10,PEPFAR Community Led Monitoring &ndash; Mozambique Relief Programs,U.S. Mission to Mozambique,,,MAPUTO-PCO-FY22-01,Not specified,Not specified,Not specified,0,0,0,10,0,0,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 10, ""ProgramPts"": 0, ""TechPts"": 0}"
10,Projects of National  Significance: Achieving Economic Mobility,Administration for Community Living,,,HHS-2024-ACL-AOD-DNCE-0023,Not specified,Not specified,Not specified,0,0,0,10,0,0,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 10, ""ProgramPts"": 0, ""TechPts"": 0}"
10,PNS: Achieving Economic Mobility and Security,Administration for Community Living,,,HHS-2023-ACL-AOD-DNCE-0030,Not specified,Not specified,Not specified,0,0,0,10,0,0,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 10, ""ProgramPts"": 0, ""TechPts"": 0}"
10,Projects of National Significance: Achieving Economic Mobility,Administration for Community Living,,,HHS-2025-ACL-AOD-DNCE-0063,Not specified,Not specified,Not specified,0,0,0,10,0,0,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 10, ""ProgramPts"": 0, ""TechPts"": 0}"
10,National Community Anti-Drug Coalition Institute (NCI),Office of National Drug Control Policy ,,,DFC-NCI-2025,Not specified,Not specified,Not specified,0,0,0,10,0,0,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 10, ""ProgramPts"": 0, ""TechPts"": 0}"
10,Community Led Monitoring Intervention,U.S. Mission to Mozambique,,,MAPUTO-PCO-20-001,Not specified,Not specified,Not specified,0,0,0,10,0,0,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 10, ""ProgramPts"": 0, ""TechPts"": 0}"
10,Peer Supports for Augmentative and Alternative Communication,Administration for Community Living,,,HHS-2025-ACL-AOD-DNSA-0045,Not specified,Not specified,Not specified,0,0,0,10,0,0,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 10, ""ProgramPts"": 0, ""TechPts"": 0}"
10,Centers for Independent Living Competition - American Samoa,Administration for Community Living,,,HHS-2026-ACL-AOD-IL-0013,Not specified,Not specified,Not specified,0,0,0,10,0,0,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 10, ""ProgramPts"": 0, ""TechPts"": 0}"
10,Centers for Independent Living Competition - Guam,Administration for Community Living,,,HHS-2026-ACL-AOD-IL-0014,Not specified,Not specified,Not specified,0,0,0,10,0,0,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 10, ""ProgramPts"": 0, ""TechPts"": 0}"
10,ACL National Falls Prevention Resource Center,Administration for Community Living,,,HHS-2026-ACL-AOA-FPSG-0005,Not specified,Not specified,Not specified,0,0,0,10,0,0,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 10, ""ProgramPts"": 0, ""TechPts"": 0}"
10,Expanding Whole Person Strategies for Community Evidence-Based Falls Prevention Programming,Administration for Community Living,,,HHS-2026-ACL-AOA-FPSG-0004,Not specified,Not specified,Not specified,0,0,0,10,0,0,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 10, ""ProgramPts"": 0, ""TechPts"": 0}"
10,ACL National Resource Center on Nutrition and Aging,Administration for Community Living,,,HHS-2026-ACL-AOA-PPNU-0003,Not specified,Not specified,Not specified,0,0,0,10,0,0,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 10, ""ProgramPts"": 0, ""TechPts"": 0}"
10,Assistive Technology Alternative Financing Program,Administration for Community Living,,,HHS-2026-ACL-CIP-ATTF-0067,Not specified,Not specified,Not specified,0,0,0,10,0,0,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 10, ""ProgramPts"": 0, ""TechPts"": 0}"
10,Community Development Block Grant Program for Indian Tribes and Alaska Native Villages,Department of Housing and Urban Development,11/24/2025,41,FR-6900-N-23,Not specified,Not specified,Not specified,0,0,0,10,0,0,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 10, ""ProgramPts"": 0, ""TechPts"": 0}"
10,Application Instructions for the Indian Community Development Block Grant (ICDBG) Imminent Threat (IT) Program,Department of Housing and Urban Development,09/30/2026,351,FR-6900-N-74,Not specified,Not specified,Not specified,0,0,0,10,0,0,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 10, ""ProgramPts"": 0, ""TechPts"": 0}"
10,DRAFT Community Noise Mitigation Program,Office of Local Defense Community Cooperation,,,OLDCC-23-F-0003,Not specified,Not specified,Not specified,0,0,0,10,0,0,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 0, ""MissionPts"": 10, ""ProgramPts"": 0, ""TechPts"": 0}"
4,Unemployment Insurance Integrity Center of Excellence Operations,Employment and Training Administration,,,ETA-UI-2024-01,Not specified,Not specified,Not specified,0,0,1,0,0,4,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 0, ""ProgramPts"": 0, ""TechPts"": 4}"
4,CyberAICorps Scholarship for Service,U.S. National Science Foundation,07/15/2026,274,23-574,Not specified,Not specified,Not specified,0,0,1,0,0,4,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 0, ""ProgramPts"": 0, ""TechPts"": 4}"
4,NIEHS Worker Training Program&rsquo;s HAZMAT Training at DOE Nuclear Weapons Complex (UH4 Clinical Trial Not Allowed),National Institutes of Health,,,TEMP-31334,Not specified,Not specified,Not specified,0,0,1,0,0,4,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 0, ""ProgramPts"": 0, ""TechPts"": 4}"
4,U.S. National Science Foundation Research Traineeship (NRT) Program,U.S. National Science Foundation,09/08/2026,329,24-597,Not specified,Not specified,Not specified,0,0,1,0,0,4,"{""MissionHits"": 0, ""ProgramHits"": 0, ""TechHits"": 1, ""MissionPts"": 0, ""ProgramPts"": 0, ""TechPts"": 4}"
